id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;XAI01;XAI02;XAI03;XAI04;AIpT01;AIpT02;AIpT03;EnvSus01;EnvSus02;EnvSus03;EnvSus04;EnvSus05;O01;O02;O03;O04
3;11.05.2020 16:36;4;de;1507122366;11.05.2020 16:29;11.05.2020 16:36;A4;A2;2;A1;A2;A5;Im Bereich der intelligenten Steuerung von Kapazitäten und Fahrgastströmen;A4;A2;A5;A5;"bessere Steuerung der Lasten und Fahrgastströme
Einsatz von Fahrzeugen dort wo sie gebraucht werden
mehr Flexibilität";A4;A3;A3;Da viele Menschen es nutzen, die von künstlicher Intelligenz keine Ahnung haben und deshalb eine Vertrauensbasis brauchen.
4;11.05.2020 16:42;4;de;1745870175;11.05.2020 16:38;11.05.2020 16:42;A4;A4;3;A2;A1;A3;Automatisch fahrende Busse und Bahnen;A3;A3;A4;A4;besseres Angebot;A3;A2;A3;"höheres Vertrauen bei Nutzern
Bessere Argumente für neue Gesetze"
5;11.05.2020 17:04;4;de;871567163;11.05.2020 16:49;11.05.2020 17:04;A3;A1;2;A1;A2;A5;In Start und Stoppsystemen bei Bahnen/Bussen im Bereich der Haltestellen zur Erhöhung und Prävention von Unfällen (Frühwarnsystem durch zB Kameraauswertung);A4;A1;A5;A5;Durch höhere Taktung/ bessere Koordination der Nahverkehrsmittel untereinander um den ÖPNV für Pendler attraktiver zu machen ;A3;A3;A4;Erklärbarkeit und Verständnis von KI erhöht die allgemeine Akzeptanz von KI‘s in der Öffentlichkeit.
6;;;de;59088926;11.05.2020 16:57;11.05.2020 16:57;;;;;;;;;;;;;;;;
7;11.05.2020 17:21;4;de;2048011372;11.05.2020 17:14;11.05.2020 17:21;A3;A1;3;A2;A2;A4;"Planung von Abfahrs- und Ankunftszeiten, Interpretation von Fahrgastzahlen, Ausstiegs- und Einstiegsorten und Anpassung der Pläne anhand der Interpretationen.
";A4;A1;A5;A5;Ausbau des Angebots an Fahrstrecken und -zeiten sowie Senkung der Ticketpreise, um mehr Menschen dazu zu ermutigen den Nahverkehr statt das Auto zu nehmen. Zudem Optimierung der Fahrtstrecken und Frequenz, um optimale eine möglichst Auslastung zu ermöglichen.;A3;A3;A3;Vor allem die ÖPNV-Unternehmen müssen davon überzeugt werden, dass sich intelligente Systeme rentieren und Vorteile gegenüber dem bereits bestehenden System aufzeigen. Dies kann nur dann funktionieren, wenn diese die Funktionsweise verstehenund nachvollziehen.
8;;3;de;236960098;11.05.2020 17:39;11.05.2020 17:43;A1;A1;5;A2;A1;A3;;A4;A1;A5;A5;;A3;A3;A4;
9;11.05.2020 22:02;4;de;2127475598;11.05.2020 21:55;11.05.2020 22:02;A3;A2;2;A3;A2;A5;Bessere routen, bessere Fahrpläne z. B. Zu stoßzeiten. Umgang mit Verspätungen;A3;A1;A5;A4;Fahrten dynamischer gestalten. Z. B. Nachts nur einen wagon und tagsüber nur so viele wie nötig ;A4;A3;A4;KI verursacht bei vielen, die sie nicht gut verstehen Angst und damit Ablehnung. 
10;11.05.2020 22:18;4;de;883316348;11.05.2020 21:55;11.05.2020 22:18;A3;A2;2;A3;A2;A4;;A3;A3;A4;A4;;A3;A2;A2;Um auf Basis dieser zu unterstreichen, welche Verbesserungen dies für den jetzigen ÖPNV haben kann um ein gewisses Vertrauen der Gesellschaft (in das momentan beschädigte Image) zu gewinnen.
11;11.05.2020 22:05;4;de;1431337864;11.05.2020 21:57;11.05.2020 22:05;A3;A1;3;A2;A1;A4;"Optimierung der Pünktlichkeit
Ausfälle vermeiden ";A4;A1;A5;A5;Nie drüber nachgedacht ;A4;A2;A3;Um Vertrauen der Bürger zu gewinnen 
12;11.05.2020 22:04;4;de;1846078211;11.05.2020 21:58;11.05.2020 22:04;A3;A1;2;A2;A1;A4;;A3;A2;A4;A5;"-Auslastung erhöhen
-Effizientere Fahrzeuge
-Angebot verstärkt an Nachfrage anpassen (inkl. Nachfrageschwankungen)";A4;A2;A3;"-Vertrauen in KI ist großteilig abhängig vom Verständnis 
-Effizienz der KI kann gesteigert werden, wenn Nutzer richtig interagieren"
